status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
449082841792177_1293808797319573,FB 1396 - Met the team Kabaddi ... jaipur pink panthers .. and ready to roll they are day after for the beginning of the new season .. wishing them the very best ... WIN .. !!,,status,,2016-06-23 15:12:30,5019,251,40,4946,59,10,1,0,3
449082841792177_1292993224067797,"FB 1395 - Babuji ki kuch panktiyaan :

जीवन खोजता आधार!

हाय, भीतर खोखला है,
बस मुलम्मे की कला है,
इसी कुंदन के ड़ले का नाम जग में प्यार!
जीवन खोजता आधार!

बूँद आँसू की गलाती,
आह छोटी-सी उड़ाती,
नींद-वंचित नेत्र को क्या स्वप्न का संसार!
जीवन खोजता आधार!

विश्व में वह एक ही है,
अन्य समता में नहीं हैं,
मूल्य से मिलता नहीं, वह मृत्यु का उपहार!
जीवन खोजता आधार!

~ डॉ. हरिवंशराय बच्चन",Timeline Photos,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1292993224067797/?type=3,2016-06-22 09:51:11,28257,769,933,27964,227,57,5,4,0
449082841792177_1292971410736645,"FB 1395 -Funny how simple for people to trash age old teachings & wonder why world has become unsafe, unstable, and seemingly out of control ...

अजीब सी बात है की , लोग पुरानी सीख, जो की जन्म - जन्मांतर से सिखाई जाती है  - वो चाहे अपने गुरुजनों से ही क्यूँ न हो - उसे नक्कार के, आश्चर्य व्यक्त करते हैं , की ये दुनिया इतनी असुरक्षित , अस्थिर और बिना किसी नियंत्रण के कैसे हो गई है",Timeline Photos,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1292971410736645/?type=3,2016-06-22 09:22:33,101618,1409,2253,100507,881,187,28,8,7
449082841792177_1292956574071462,"FB 1395 -
"" People like to arrive fashionably late. But in my opinion, it is more noticeable if you leave early ""~ GD

लोग ऐसा मानते हैं की ये बड़ा fashionable होता है अगर वो किसी party में बुलाए जाएँ, तो वो वहां late या देर से पहुंचें    .... लोग उन्हें ज़्यादा notice करते हैं। 
पर मेरा ऐसा मानना है की, वो लोग ज़्यादा notice किए जाते हैं, जो पार्टी जल्दी छोड़ के चले जाते हैं  ...",Photos from Amitabh Bachchan's post,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1292956437404809/?type=3,2016-06-22 09:02:40,227984,3507,4479,224341,2834,666,123,15,5
449082841792177_1292453377455115,FB 1394 -  𝕀𝕥 𝕚𝕤 𝕥𝕚𝕞𝕖 .. 𝕥𝕚𝕞𝕖 𝕥𝕠 𝕤𝕒𝕪 𝕥𝕙𝕖 𝕨𝕠𝕣𝕕 .. 𝕝𝕠𝕧𝕖 𝕒𝕟𝕕 𝕞𝕠𝕣𝕖 ..,Timeline Photos,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1292453377455115/?type=3,2016-06-21 15:48:00,114975,1526,1753,113449,1234,254,30,3,5
449082841792177_1292427974124322,FB 1394 - Kuch der rukna pada .. gaya tha UEFA 2016 football dekhne .. Paris nahin Tv par .. Spain vs Croatia .. chal raha hain .. lekin mai yahan ..,Timeline Photos,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1292427974124322/?type=3,2016-06-21 14:56:09,45778,539,440,45207,439,57,73,2,0
449082841792177_1292040740829712,"FB 1394 - And another one :
QUESTIONS FROM GULF NEWS

1 The trailer reveal the deepest fears that every parent or a grandparent goes through: their loved one going missing. What were your thoughts when the film was narrated to you?

ANS//
Quite frankly when we hear a script we do not immediately try to internalize the gravity of the content. What one concentrates on is the creativity, the part to play and the makers who shall deliver and be in charge of the project. But yes, you do bring about a pertinent question – the worry and the anxiety that all parents go through when their loved ones are concerned .. its is indeed a fear that all of us go through ..

2. What made the trailer of T3N riveting was that the grandfather was struggling for closure after the tragedy to Angela. Do you think having closure makes grief about human loss more enduring? Or, is the lack of closure the worst way to live?

ANS//
There never can be closure on a tragedy that involves loved ones. It remains within us and persists in our thoughts regularly. That is a given. At times if there is some deformity, detail or factual circumstance that has eluded the unfortunate deed, then it becomes imperative for those that grieve, to make attempt till the very last call, in finding out the facts and the reveal. There are many real life unfortunate cases that we read about today where those affected still persist for facts and justice. The lack of closure is therefore a festering wound for those that live the tragedy each hour, and the desire and will to find out, is what keeps them active, not merely formally but informally too. This is exactly what John Biswas, the character I play in 'TE3N', is intent on achieving.

3 How vulnerable did you feel while playing this role? 

ANS//
……as vulnerable as the writing of the script, or the dialogues of the film. Personalizing the story or the character has many other connotations for an actor, and that then falls into another more detailed discussion.

4 You play a doting grandfather in real life. How much of your personal experience did you bring to this role?

ANS//
As I said earlier there are occasions when one delves into ones own circumstances and draws from it to represent on film. But then these are various methods actors use or perhaps use. Sometimes yes, these thoughts do invade the mind before a scene.

5 What was were the challenges associated with playing this role?

ANS//
To be as close to the character designed by the writer and the director.

6 How was it re-visiting Kolkota and what do you like about the city? Did you have to soak in the vibe and the atmosphere of the place? If  I were to visit Kolkota, where would I suggest I go or do?

ANS//
Kolkata was the first city of job. That is an important phase in one's life. So the city has a natural attraction because of this factor. Then having spent almost 8 years of your first independent life, has many memories and nostalgia linked to it. But most importantly it has been the people of Kolkata that have been its greatest attraction as far as I am concerned. They are the soul of the city and in many respects its passion and its culture. Being in their midst is just so enticing and invigorating. Where in Kolkata should you be and what you should be doing ..? Well, just land up there and go to any corner of the city and you shall have sufficient material to see and do  !!

7  Vidya Balan and Nawazuddin Siddiqui are strong actors.What are your observations about them and what was your dynamic with them?

ANS//
Both Vidya and Nawaz are extremely talented artists and it has been a great learning for me to be in their company, to learn and observe from them.

8. If I were a fly in the wall on the sets of TE3N, what would I see on a regular filming day? Do you have any memorable anecdote to share?

ANS//
On a regular filming day you would have to be prepared to travel a lot. There was always great mobility at various locations for 'TE3N' in and around Kolkata.

9. In the age of oversharing everything on social media, how relevant are full-length feature films?

ANS//
Sharing on social media shall always be limited – at times to just 140 alphabets – but that does not take away the measure of the film when seen in totality on a large screen ..
Films shall always be relevant. That is a content that shall remain constant, irrespective of how it is delivered to the audience.

10. What according to you makes for a great murder mystery or a thriller? Which are your favourite ones and why?

ANS//
It is the suspense of how it all happened, that becomes the most exciting feature of any mystery thriller . 'TE3N' is no different form any other thriller. Some of Alfred Hitcock's films have been favorites .. 

11. A suspense thriller without a thrilling end is soul-destroying. Do you fear that the ending may not be satisfying?

ANS//
That shall be for the audience to decide. It would be silly of us to not make a product that is not soul stirring .. surely we not go out to deliberately make a wrong or bad film !

12. What would you tell all those parents, grand parents and family members who are struggling to cope with the loss of a loved one?

ANS//
My prayers and emotions with them. Sudden and tragic loss of a loved one is the most traumatic and one has to cope with it. But such is life .. you learn to live with it and its circumstances ..

13.  What are you deepest and darkest fears?

ANS//
The well being of loved ones ..

14. What did you learn personally from acting in Te3N?

ANS//
That it is most difficult to be simple in front of the camera ..

15. Is there a significance to the digit 3 in this one?

ANS//
Indeed yes .. and we shall all be anxious to know from you and the audience whether you are able to spot it or not .. That shall also form a part of the mystery ..

16. The fascination with serial killers is something that many TV shows and films tackle? Have you ever been fascinated by them such as Jack The Ripper, Boston Burglar etc?

ANS//
Yes I have .. 
And I think you have the name wrong .. its Boston Strangler, not Burgler .. !!

17. How has the year been for you?

ANS//
Another year ..

QUESTIONS FROM KHALEEJ TIMES
1. What drew you towards Te3n?
ANS//
Its unique story and the way its screen play played out .. also that I was working with Sujoy Ghosh and Ribhu Dasgupta, with whom I had worked earlier and found it comfortable ..

2. What do you think of Nawazuddin Siddiqui's growth in Indian cinema and how do you see him as an actor?
ANS//
Nawaz is a phenomenal talent and I feel so honored to get an opportunity to work with him. His growth in the Industry has been astonishing.

3. How was it to work with Vidya Balan once again?
ANS//
Vidya has always been such an accomplished artist that working with her is a joy always.

4. Rishi Kapoor recently told us that he not getting good roles at 62, same cannot be said about you considering the exciting projects that you have done in the past and the ones that you are doing now. Are you happy with the roles that are being offered to you?
ANS//
Yes I am fortunate and blessed to be getting the roles that I am .. 

5. Can you tell us how filmmakers and artists create cinema that embodies the fantasy of billions of people across the world?
ANS//
After 47 years in the Industry I am still finding out, perhaps just like many others, how film makers are able to create cinema that embodies the fantasy of billions of people..

6. When you go into a new role do you go with the confidence that you will pull it off or you go with anxiety whether or not you will be able to do it?
ANS//
Always with great amount of anxiety and nervousness ..

7. Do you find yourself thinking of the time when the phone will stop ringing and flowers will stop coming?
ANS//
I think of it every day and hour .. it will happen someday and soon .. but that is the profession. It shall happen with all of us ..

8. After all these years, what is like to see yourself on screen?
ANS//
….that there is so more to learn  ..

9. What makes you happy in life?
ANS//
That I am still breathing ..

10. What did you think of Sarabjit and Housefull 3?
ANS//
Sarabjit was intense and contained some strong performances. H3 is fun filled and entertaining, I have heard. I am yet to see it  ..

Following questions are taken out of Proust questionnaire by Marcel Proust, the French essayist and novelist - We would really like it if you can answer these even if it is in one line/word.  

11. What is your greatest fear?
Loss of loved ones …

12. Which talent would you most like to have?

That of a musician …

13. If you could change one thing about yourself, what would it be?
I would change nothing …

14. What do you consider your greatest achievement?
That I am my Father's son …

15. What is your most marked characteristic?
I would not be able to assess that .. it would more appropriate for others to decide ..

16. What do you most value in your friends?
Sincerity ..

17. Who are your favourite writers?
My Father …

18. Who is your hero of fiction?
'Biggles' a character whose books we read when we were studying in school ..

19. Which historical figure do you most identify with?
None .. though I have great admiration for many ..

20. Who are your heroes in real life?
My Father and my Mother …

21. What is it that you most dislike?
Indiscipline …

22. What is your greatest regret?
I have none …

23. If you were to die and come back as a person or a thing, what would it be?
It would be as myself …

24. Where would you most like to live?
In India ..

25. What is your most treasured possession?
My family …

26. What do you regard as the lowest depth of misery?
I would rather think of happiness than misery ….

Question from 'The Indian Weekly': To Mr. Bachchan, how difficult was it to get into character for this role? Was depicting this kind of loss tough?

ANS//
Ribbu the director wished me to look and behave like a lower middle class Anglo-Bengali and I have attempted to try and satisfy him ..

Question from Radio Haanji: To both of them, what is your favourite song from the movie and favourite Punjabi song of all time?

ANS//
From the film it is the song 'Haq' ..
All Punjabi songs are favorites of mine because of the rhythm and beat that accompanies all of them .. 
 
Question from Radio Tarana: To Mr. Bachchan, is there a particular saying that your father has written, which you use or say to yourself everyday?

ANS//
Yes : 'man ka ho toh achcha … na ho toh zyaada achcha !!' 

Questions for SOUTH AFRICA market
 
1. Please share with us your experience of working on of working on TE3N
ANS//
TE3N has been a delight to work on. I play an Anglo-Bengali in the film that is searching a certain truth .. it is based in Kolkata, a favorite city of mine .. an opportunity to work with exceptional talents like Vidya and Nawaz .. and be in appreciation of the music by Clinton Cerejo and all the technicians that worked along with us ..  

2. What can your fans expect from the film? In terms of your performance?

ANS// I cannot be a judge of my own work .. that would be too arrogant and pompous. The audience shall decide and give the answer to us .. 

3. How was the experience of working with Nawazuddin Siddqiui & Vidya Balan? 

ANS//
Both of them are exceptional talents and it has been a joy to be in their company ..

4. What in your opinion is the USP of TE3N?

ANS//
Its unique story line and its presentation …

5. Since you began acting alot has changed in Bollywood, what in your opinion do miss most of working with directors of your era?
ANS//
Each decade changes occur in society and the world we live in .. writers and directors and makers imbibe from live and that is what makes it exciting .. the directors of my time were all exceptionally talented people .. they were all masters in their craft and I was lucky and fortunate enough to have worked with them …

6. You have also sung a song in the movie, tell us more...

ANS//
Yes I have sung a song in the film .. it is amore an internalization of the character as he thinks or reminisces of his grand daughter .. I am no singer, but I try .. 

7. What has been the most challenging role to date? And why?

ANS//
Each and every role that I have played has been challenging .. playing a role in front of a camera is hard work and involves focus and attention .. 

8. A message to your ardent fans in South Africa

ANS//
My very first visit to SoAf was one that I shall never forget .. the love of the people was simply so moving and fantastic .. also the fascination of meeting 'Madiba' on several occasions ..",Photos from Amitabh Bachchan's post,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1292040447496408/?type=3,2016-06-21 00:56:22,30139,521,927,29709,362,56,7,2,3
449082841792177_1292014447499008,"FB 1394 - Some interviews that I recently did :

QUESTIONS FROM ANDHRA JYOTHY NEWSPAPER, HYDERABAD

1- If you look back..who is real Amitabh..A legendary star? An average human being? or a satisfied person..

ANS//
A below average human being … !!
2. You have adapted and flowed with changing times..how is the journey so far

ANS//
It has been challenging and enjoyable and I do hope it continues so in the time left for me …
3. How do you define Indian cinema? Do you feel it is progressed with times..

ANS//
Indian Cinema is poetic justice in 3 hours ! You and I may never get that in a lifetime – perhaps several life times. Yes indeed it has progressed with time. It would never have lasted for more than a 100 years if it did not …
4. Are you critical of your films?

ANS//
Yes ..
5. You are a legend sir and inspire today's youngsters what is your inspiration of life and role model?

ANS// 
I am no legend and certainly cannot be looked upon as an inspiration for youngster's. I consider myself fortunate to be in a profession that gives me the opportunity to express to the best of my limited ability, what is desired of me by writers and makers. Each generation that has come after me and indeed that has been there before me are my inspiration. I look up to them and have the greatest admiration for them ..
6. What are your upcoming projects and what kind of roles you would like prefer in near future?

ANS//
I have 'PINK' produced by Shoojit Sarkar and directed by Tony, Anirudh Roy .. there is one with YRF and Victor as director .. and a few more on the anvil, which have to fructify. My preference is not important – I take what comes to me from others …
7. Still any dream role you have in your mind which you think still its pending?

ANS//
I hope there is and I hope someone shall bring it to me ; I do not have the capacity to know what it shall be …
8. Sir you are taking every initiative to spread social awareness messages what is your message for the people on the swach bharat campaign?

ANS//
""Keep it Clean"" .. !!
9. Any sweet memories with south cinema industry you would like to share ?

ANS//
I have spent a great amount of time in the region and have very fond memories with Directors Artists and others that contribute to the Southern Film Industry. I have always found them to be better organized and disciplined and greatly more alive to experimentation and fresh ideas. My deep respect to all that contribute towards the film industry in the Southern region …
10.Would u like to learn telugu language and if good role is offered to u in telugu cinema will u go for it?

ANS//
Yes I would .. I did speak a few words in Telugu in one of my films, and have worked in a Telugu film too. If there is something that excites me I would certainly want to work in a Telugu film
11. What is your opinion on telugu cinema?

ANS//
I do believe that the largest number of films made in India are from the South and that Telugu cinema has a larger turn over than the much talked about Hindi cinema. This is of course my very limited information, and needs verification of course …
12..Sir if u  can share your some lovely  and inspiration experience of your childhood with ur father which u still follow and make sure that your children also follow that?

ANS//
He taught me a lot but his one most important teaching was .. 
"" Man ka ho toh achcha – Na  toh zyaada achcha"" .. 
meaning :
If things happen the way you want it, good. But if they do not, then even better. Why better ..? because then they are then happening according to the wish of the Almighty and He shall always think of your betterment.
13. How is life with your grandchildren?

ANS//
Great and in great admiration of how they grow up in today's times …
14. How does today social networking technology inspire you? As you are very active in social media ?

ANS//
Social networking has given me the opportunity to connect with my well wishers. It is wonderful to be able to have conversation or discussion or debate with all of them that we could never reach. They are all important people, for they are the ones that give us the honor and privilege of being who we are. We are in a position of celebrity, because of them. It is wonderful to know what they think – both complimentary and not so complimentary !
16.As we have seen you taking lot of initiative to save girl child and education, beyond that on any other section you think needs to take care of by government and by the common man?

ANS//
I work for eradication of Polio as UN Ambassador and have successfully after 8 years made India Polio free .. I campaign for the Girl Child and 'Beti Bachao, Beti Padhao', for TB, for Hepatitis B, for Save the Tiger, 'Swatch Bharat' and several other social causes .. I am to work for the Traffic Police department, for Khadi ..
17.Sir anytime u got a thought in your life that if you are not a actor, may be in other field which inspire you the most?

ANS//
I started my work career as an executive in a Company in Kolkata. After coming to films I do not know of what else I can do. 
19. Whenever you are in Hyderabad , what excites you most ,it's food ,friends or going around different places ?

ANS//
The food and friends ..

QUESTIONS FROM THE TELEGRAPH KOLKATTA SPECIAL
1. After Piku, the shoot for Te3n took you back to Kolkata. What is it about the city that makes it so special on celluloid?
ANS//
The people. They are passionate and warm and welcoming and filled with great emotion and  knowledge. Having spent almost 8 years working in Kolkata as an executive, it is a city that has remained close to me. On celluloid - well celluloid is over and extinct now, its all digital - Kolkata has some remarkable history and culture around and about it, most of it still unexploited and that makes the region rich for movie making. Also the authorities have always given us great support cooperation and help in providing us the right atmosphere to work in.
2. Of all the times you've shot in Kolkata, this there any particular memory that stands out?
ANS//
Each moment that has been spent in Kolkata during the shooting of my films has been filled with great stories and wonderful memories. They have all been happy, emotional and enjoyable.
3. Is there any particular memory from the shoot of Te3n that has stayed with you?
ANS//
The visit to the forests around Shantiniketan and indeed Shantiniketan itself. The trip was sublime. Then some portions of Kolkata that I had never seen – in particular North Kolkata and the old structures and buildings and their preservation. 

4. Do you have any must-dos when you visit Kolkata? (people to meet or food from specific places you want to sample?)
ANS//
People .. my old bosses and friends that I have maintained a connect with during my times of the 60's when I worked there. My eating habits are now limited and very mundane, but I did 
 cherish the 'puchka' outside Victoria Memorial, the 'karti kebab' of Nizams, the Chinese food at Waldorf, the prawn cocktail at Skyroom and of course the delicious and varied sweetmeats at every corner of the city.
5. What was Ribhu's brief for playing John Biswas?
ANS//
To remain as simple and unaffected as possible. And to keep away from too much Bengali because I had already done that in 'PIKU' .. recently released. 
6. The way Ribhu imagined this character required you to shave your beard after a very long time. Was it an easy decision for you to shave?
ANS//
No not really .. but then one has to follow the diktat of the director and the script.
7. This film pairs you along with Nawazuddin for the first time. What is your impression of him as a co-star?
ANS//
Nawaz is an exceptional talent and it has been a joy to work with him. It has been a learning for me.
8. After all these years, is there anything you wouldn't do for a role?
ANS//
I am uncomfortable with kissing and sex scenes. I avoid that. As also the use of expletives and abusive language.
9. This is your second consecutive thriller. Are there genres you enjoy doing more than others?
ANS//
Not really. I do whatever comes to me. At this age and time I cannot be a chooser. I am fortunate to be getting any work at all.
10. Yesterday you participated in a lovely event that attempted to take the audience behind the scenes of making this film. You mentioned the lack of such documentation in the past. Hypothetically, what films or what personalities would you have liked to watch/hear/read more about?
ANS//
All the greats of cinema. From Bengal, that has had such a rich contribution – Satyajit Ray, Mrinal Sen, Ritwick Ghatak and the many artists, Chabi Biswas, Uttam Kumar and so many others. From the Hindi film industry the greats like Raj Kapoor, Guru Dutt, K Asif, Mehboob, artists like Dilip Kumar and others. From the South – Sivaji Ganesan, MGR, NTR, Akkineni Nageshwar Rao and endless talents.
11. You are re-teaming with directors like Shoojit, Ramu, Bejoy, Gaurang. Is easier to work with directors you have worked before. 
ANS//
There is a level of comfort, of understanding each other. But they too were new and first time directors at some point of time, so you adjust.
12. Will we see you back on television any time soon?
ANS//
Perhaps next year ..
13. Aishwarya, Abhishek and you have had releases pretty much back-to-back. It must have been a crazy time in the Bachchan household?
ANS//
Not really. We are all in the business and we understand what it means, so there is no issue there.
14. A few years ago in an interview you had told me that a new skill you wanted to learn was playing the piano. How is that going?
ANS//
Not just the piano but also the sitar and the sarod and classical singing. I am desperate to learn them but am just not getting the time or the people to push me into a learning routine .. I guess it will happen sometime ..

QUESTIONS FROM FILMFARE

1. Every performance of yours invites accolades. As an actor how much emphasis do you give to both appreciation and criticism?

ANS//
ANS//
Criticism is important and valuable. It shows you a mirror that you are unable to see. It teaches and I learn from it. Appreciation is humbling, but not something that one should get too overawed by I feel.

2. When was the last time you received criticism, which helped you as an artiste, as a performer?
ANS//
Each film teaches, and the critics bring out some aspect of the film or the performance which enhances your capacity to learn and understand. Sometimes it is difficult to mark a mistake yourself, until it is shown by another. That is something that should be valued. It happens in all the creative work that we do. And it is most essential.
3. Which was the last performance you watched (of another actor) that left you deeply impressed?
ANS//
Ranveer Singh in 'Bajirao Mastani' and Randeep Hooda in 'Sarabjit' …
4. What's the motivation that makes you look forward to going on the set?
ANS//
The continuity of another job ..
5. Would you agree that being happy at work is the best therapy after all?
ANS//
Oh yes .. those moments should be the happiest, else stop working ! When the camera rolls and the director shouts 'action', it is not a director, but a therapist healing your mind and body.
6. TE3N took you back to Kolkata. What made it memorable this time?
ANS//
Each visit to Kolkata is most memorable and enjoyable and nostalgic and filled with passion. The people and the city do this to you.
7. What was the challenge of playing a grandfather wanting to avenge the murder of his granddaughter?
ANS//
John Biswas, the character that I play is an Anglo-Bengali, is a lower middle class ordinary old man, weak physically and emotionally too. His effort is not to avenge so much, but to discover the truth and a confession of the episode and incident. Its one of the most difficult aspects of cinema to remain simple. Ribhu and Sujoy wanted that from me and I hope we have managed to achieve that.
8. Would you say playing older characters is far more liberating than playing a 'hero' was in the '70s – '90s, where one had to adhere to mass expectations? Are you enjoying this phase?
ANS//
Age does allow a greater variety yes .. and therefore is more challenging at times. But let us not overlook those early years as well. They were tough and difficult too. At this phase of my career one does get the benefit of a sublime liberation, of lesser responsibility for the box office return, not because the box office does not have meaning, but the return is not in the range of the bigger stars of the firmament. Our returns will not be in the massive range of the others, so we strive to achieve within our limited means …
9. TE3N has brought you again with Vidya Balan. What makes it special to face the camera with her?
ANS//
She is a celebrated and gifted artist and an exceptional co artist. It has been wonderful always to be in her company, both socially and professionally.
10. Nawazuddin Siddiqui – one of the finest talents we have… What was that special quality that you noticed about him as an artiste?
ANS//
The effortless ease of his demeanor in front of the camera. That to me as an artist is difficult to achieve, but Nawaz does it with such aplomb. Just watching him do that is a great learning.
11. Most of your younger co-actors tend to be your fans… Is it difficult breaking the ice with them?
ANS//

That is a misconception, for, I am their greatest fan. This generation has some of the most brilliant talents that I have ever seen. For me it is a fan moment to be in their midst. 
12. Aniruddha Roy's Pink is said to revolve around a father-daughter relationship? Its not quite clear. Can you please elaborate and explain the title?
ANS//
No it is not a Father-daughter relationship, but a relationship with 3 girls who could have been his daughter's age. It is a film on women empowerment and that is why it is called PINK..
13. A father-daughter relationship is said to be the tenderest bond. Do you agree?
ANS//
The tenderest and the most emotional .. 
14. There are a lot of special girls in your life… Shweta, Aishwarya, Aaradhya and Navya… what do daughters lend to a home?
ANS//
The aroma of ethics .. the hush of beauty .. and the smiles of their presence ..

15. 
16. Abhishek has often stated that he's your fan and your buddy apart from being your son. What makes him a special person?
ANS//
That he is my friend first and a son later ..

17. You've admirably adapted to every ear, with every director… Do you sometimes wish you could turn back the hands of time?
ANS//
Turn back the hands of time and do what ? The past is over, look upon it with nostalgia, its teaching, its pleasant memory and move on to the tomorrow, with expectation of betterment.
18. Fame, popularity, prosperity… are all offshoots of being in showbiz. But what is it that
19. 
20. 
21. 
 you as an actor really crave for?

ANS//
Another job ..

22. Audiences truly enjoyed your candid act with Jayaji in Ki & Ka. Did you enjoy it too while doing it? Do you agree that a woman invariably ends up sacrificing more in a marriage?
ANS//
Yes I enjoyed doing it and yes I do feel that the woman ends up sacrificing more. She suddenly realizes one fine day that she has to shift from the home she was born and brought up in, to another which shall now onwards be her new home. She undergoes a change in her surname, she now brings new life to the world and nurtures them, brings them up keeping all other chores aside, builds a home for them, much like her own parents did for her when she was born. All this needs respect and admiration.  
23. Jayaji and you have enjoyed a long innings together… What makes her a special friend, a special partner?
ANS//
She makes a home, that you long to come back to ..",Photos from Amitabh Bachchan's post,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1292014044165715/?type=3,2016-06-20 23:56:24,40735,790,1681,40075,570,81,9,0,0
449082841792177_1291365457563907,"FB 1393 - 41 years of MILI ,, my film with Hrishi da and Jaya and Dada Muni ..",Timeline Photos,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1291365457563907/?type=3,2016-06-20 02:58:56,15864,585,485,15643,187,25,4,2,3
449082841792177_1291342587566194,FB 1393 - From my Ef : Anjali,Timeline Photos,photo,https://www.facebook.com/AmitabhBachchan/photos/a.452056338161494.108384.449082841792177/1291342587566194/?type=3,2016-06-20 02:05:01,23400,766,1950,22938,333,122,6,1,0
